id,actor
1,Tim Robbins
2,Marlon Brando
3,Christian Bale
4,Al Pacino
5,Henry Fonda
6,Elijah Wood
7,John Travolta
8,Liam Neeson
9,Leonardo DiCaprio
10,Brad Pitt
11,Tom Hanks
12,Clint Eastwood
13,Lilly Wachowski
14,Robert De Niro
15,Mark Hamill
16,Jack Nicholson
17,Lin-Manuel Miranda
18,Kang-ho Song
19,Suriya
20,Matthew McConaughey
21,Kátia Lund
22,Daveigh Chase
23,Roberto Benigni
24,Morgan Freeman
25,Jodie Foster
26,Tatsuya Nakadai
27,Toshirô Mifune
28,James Stewart
29,Joaquin Phoenix
30,Miles Teller
31,Éric Toledano
32,Adrien Brody
33,Russell Crowe
34,Edward Norton
35,Kevin Spacey
36,Jean Reno
37,Rob Minkoff
38,Arnold Schwarzenegger
39,Philippe Noiret
40,Tsutomu Tatsumi
41,Michael J. Fox
42,Anthony Perkins
43,Humphrey Bogart
44,Charles Chaplin
45,Zain Al Rafeea
46,Erdem Can
47,Pushkar
48,Ryûnosuke Kamiki
49,Aamir Khan
50,Peter Ramsey
51,Joe Russo
52,Adrian Molina
53,Jamie Foxx
54,Amole Gupte
55,Ben Burtt
56,Ulrich Mühe
57,Choi Min-sik
58,Guy Pearce
59,Yôji Matsuda
60,Harrison Ford
61,Martin Sheen
62,Sigourney Weaver
63,Rajesh Khanna
64,Peter Sellers
65,Tyrone Power
66,Kirk Douglas
67,William Holden
68,Dean-Charles Chapman
69,Anand Gandhi
70,Ayushmann Khurrana
71,Mohanlal
72,Mads Mikkelsen
73,Payman Maadi
74,Lubna Azabal
75,Aras Bulut Iynemli
76,Çetin Tekindor
77,Jim Carrey
78,Audrey Tautou
79,Jason Statham
80,Ellen Burstyn
81,Robin Williams
82,Mohammad Amir Naji
83,Mel Gibson
84,Harvey Keitel
85,Matthew Modine
86,Aleksey Kravchenko
87,F. Murray Abraham
88,
89,Paul Newman
90,Malcolm McDowell
91,Keir Dullea
92,Peter O'Toole
93,Jack Lemmon
94,Cary Grant
95,Gene Kelly
96,Takashi Shimura
97,Lamberto Maggiorani
98,Fred MacMurray
99,Peter Lorre
100,Brigitte Helm
101,Sushant Singh Rajput
102,Vicky Kaushal
103,Yash
104,Viggo Mortensen
105,Frances McDormand
106,Irrfan Khan
107,Prabhas
108,Carlos Martínez López
109,Ajay Devgn
110,Kangana Ranaut
111,Lembit Ulfsak
112,Farhan Akhtar
113,Manoj Bajpayee
114,Rajat Barmecha
115,Ricardo Darín
116,Tom Hardy
117,Bob Peterson
118,Shah Rukh Khan
119,Daniel Day-Lewis
120,Ivana Baquero
121,Hugo Weaving
122,Amitabh Bachchan
123,Bruno Ganz
124,Chieko Baishô
125,Akshay Kumar
126,Jason Flemyng
127,Sener Sen
128,Davor Dujmovic
129,Hitoshi Takagi
130,Bruce Willis
131,Alisa Freyndlikh
132,Ingrid Bergman
133,Anthony Quinn
134,Sanjeev Kumar
135,Terry Jones
136,Steve McQueen
137,Gregory Peck
138,Spencer Tracy
139,Marilyn Monroe
140,Victor Sjöström
141,Max von Sydow
142,Jean Servais
143,Ray Milland
144,Chishû Ryû
145,Bette Davis
146,Carole Lombard
147,Buster Keaton
148,Noémie Merlant
149,Taapsee Pannu
150,Miyu Irino
151,Mario Casas
152,Kim Min-hee
153,Anne Dorval
154,Shahid Kapoor
155,Hugh Jackman
156,Brie Larson
157,Darío Grandinetti
158,Kemp Powers
159,Haluk Bilginer
160,Paresh Rawal
161,Ralph Fiennes
162,Ben Affleck
163,Aoi Miyazaki
164,Andrew Garfield
165,Ronnie Del Carmen
166,Ranbir Kapoor
167,Chiwetel Ejiofor
168,Daniel Brühl
169,Matt Damon
170,Mark Ruffalo
171,David Rawle
172,Vidya Balan
173,Hrithik Roshan
174,Anupam Kher
175,Daniel Radcliffe
176,Masahiro Motoki
177,Richard Gere
178,Toni Collette
179,Chris Sanders
180,Emile Hirsch
181,Joel Coen
182,Sanjay Dutt
183,Hilary Swank
184,Don Cheadle
185,Jang Dong-Gun
186,Ethan Hawke
187,Uma Thurman
188,Lee Unkrich
189,Emilio Echevarría
190,David Silverman
191,Kazuya Tsurumaki
192,Tim Roth
193,Bajram Severdzan
194,Ethan Coen
195,Tony Chiu-Wai Leung
196,Ewan McGregor
197,Predrag 'Miki' Manojlovic
198,Vincent Cassel
199,Irène Jacob
200,Brigitte Lin
201,Sam Neill
202,Leslie Cheung
203,Gong Li
204,Wil Wheaton
205,Charlie Sheen
206,Harry Dean Stanton
207,Sumi Shimamoto
208,Kurt Russell
209,Bob Geldof
210,Klaus Kinski
211,Bertil Guve
212,Anthony Hopkins
213,Graham Chapman
214,Sylvester Stallone
215,Faye Dunaway
216,Ryan O'Neal
217,Margarita Terekhova
218,Harriet Andersson
219,Natalya Bondarchuk
220,Alain Delon
221,Bibi Andersson
222,Anatoliy Solonitsyn
223,Brahim Hadjadj
224,Silvia Pinal
225,Eduard Abalov
226,Jean-Pierre Léaud
227,Charlton Heston
228,Giulietta Masina
229,Yves Montand
230,James Cagney
231,Orson Welles
232,Emeric Pressburger
233,Margaret Sullavan
234,Laurence Olivier
235,George Cukor
236,Jean Gabin
237,Clark Gable
238,Maria Falconetti
239,George O'Brien
240,Werner Krauss
241,Willem Dafoe
242,Salman Khan
243,Ryan Gosling
244,Dev Patel
245,Rich Moore
246,Chloë Grace Moretz
247,Jacob Tremblay
248,Vijay Varma
249,Iko Uwais
250,Benedict Cumberbatch
251,Chris Pratt
252,Rami Malek
253,Logan Lerman
254,Wagner Moura
255,Colin Firth
256,Emma Stone
257,Ryan Reynolds
258,Golshifteh Farahani
259,Abhay Deol
260,Donnie Yen
261,Loveleen Tandan
262,Natalie Portman
