id,Director
1,Frank Darabont
2,Francis Ford Coppola
3,Christopher Nolan
4,Sidney Lumet
5,Peter Jackson
6,Quentin Tarantino
7,Steven Spielberg
8,David Fincher
9,Robert Zemeckis
10,Sergio Leone
11,Lana Wachowski
12,Martin Scorsese
13,Irvin Kershner
14,Milos Forman
15,Thomas Kail
16,Bong Joon Ho
17,Sudha Kongara
18,Fernando Meirelles
19,Hayao Miyazaki
20,Roberto Benigni
21,Jonathan Demme
22,George Lucas
23,Masaki Kobayashi
24,Akira Kurosawa
25,Frank Capra
26,Todd Phillips
27,Damien Chazelle
28,Olivier Nakache
29,Roman Polanski
30,Ridley Scott
31,Tony Kaye
32,Bryan Singer
33,Luc Besson
34,Roger Allers
35,James Cameron
36,Giuseppe Tornatore
37,Isao Takahata
38,Alfred Hitchcock
39,Michael Curtiz
40,Charles Chaplin
41,Nadine Labaki
42,Can Ulkay
43,Gayatri
44,Makoto Shinkai
45,Nitesh Tiwari
46,Bob Persichetti
47,Anthony Russo
48,Lee Unkrich
49,Rajkumar Hirani
50,Aamir Khan
51,Andrew Stanton
52,Florian Henckel von Donnersmarck
53,Chan-wook Park
54,Stanley Kubrick
55,Hrishikesh Mukherjee
56,Billy Wilder
57,Sam Mendes
58,Rahi Anil Barve
59,Sriram Raghavan
60,Jeethu Joseph
61,Thomas Vinterberg
62,Asghar Farhadi
63,Denis Villeneuve
64,Mehmet Ada Öztekin
65,Çagan Irmak
66,Michel Gondry
67,Jean-Pierre Jeunet
68,Guy Ritchie
69,Darren Aronofsky
70,Gus Van Sant
71,Majid Majidi
72,John Lasseter
73,Mel Gibson
74,Elem Klimov
75,Brian De Palma
76,Richard Marquand
77,
78,George Roy Hill
79,David Lean
80,Stanley Donen
81,Vittorio De Sica
82,Fritz Lang
83,Aditya Dhar
84,Prashanth Neel
85,Peter Farrelly
86,Martin McDonagh
87,Meghna Gulzar
88,S.S. Rajamouli
89,Sergio Pablos
90,Nishikant Kamat
91,Vikas Bahl
92,Zaza Urushadze
93,Rakeysh Omprakash Mehra
94,Anurag Kashyap
95,Vikramaditya Motwane
96,Tigmanshu Dhulia
97,Juan José Campanella
98,Gavin O'Connor
99,Pete Docter
100,Shimit Amin
101,Paul Thomas Anderson
102,Guillermo del Toro
103,James McTeigue
104,Sanjay Leela Bhansali
105,Ashutosh Gowariker
106,Oliver Hirschbiegel
107,Ron Howard
108,Priyadarshan
109,Curtis Hanson
110,Yavuz Turgul
111,Michael Mann
112,Rajkumar Santoshi
113,Clint Eastwood
114,Emir Kusturica
115,John McTiernan
116,Andrei Tarkovsky
117,Ingmar Bergman
118,Moustapha Akkad
119,Ramesh Sippy
120,Terry Gilliam
121,John Sturges
122,Robert Mulligan
123,Stanley Kramer
