index,Series_Title,Released_Year,Certificate,Runtime_in_Minutes,Genre,IMDB_Rating,Meta_score,No_of_Votes,Gross
0,The Shawshank Redemption,1994,A,142,Drama,9.3,80.0,2343110.0,28341469
1,The Godfather,1972,A,175,"Crime, Drama",9.2,100.0,1620367.0,134966411
2,The Dark Knight,2008,UA,152,"Action, Crime, Drama",9.0,84.0,2303232.0,534858444
3,The Godfather: Part II,1974,A,202,"Crime, Drama",9.0,90.0,1129952.0,57300000
4,12 Angry Men,1957,U,96,"Crime, Drama",9.0,96.0,689845.0,4360000
5,The Lord of the Rings: The Return of the King,2003,U,201,"Action, Adventure, Drama",8.9,94.0,1642758.0,377845905
6,Pulp Fiction,1994,A,154,"Crime, Drama",8.9,94.0,1826188.0,107928762
7,Schindler's List,1993,A,195,"Biography, Drama, History",8.9,94.0,1213505.0,96898818
8,Inception,2010,UA,148,"Action, Adventure, Sci-Fi",8.8,74.0,2067042.0,292576195
9,Fight Club,1999,A,139,Drama,8.8,66.0,1854740.0,37030102
10,The Lord of the Rings: The Fellowship of the Ring,2001,U,178,"Action, Adventure, Drama",8.8,92.0,1661481.0,315544750
11,Forrest Gump,1994,UA,142,"Drama, Romance",8.8,82.0,1809221.0,330252182
12,"Il buono, il brutto, il cattivo",1966,A,161,Western,8.8,90.0,688390.0,6100000
13,The Lord of the Rings: The Two Towers,2002,UA,179,"Action, Adventure, Drama",8.7,87.0,1485555.0,342551365
14,The Matrix,1999,A,136,"Action, Sci-Fi",8.7,73.0,1676426.0,171479930
15,Goodfellas,1990,A,146,"Biography, Crime, Drama",8.7,90.0,1020727.0,46836394
16,Star Wars: Episode V - The Empire Strikes Back,1980,UA,124,"Action, Adventure, Fantasy",8.7,82.0,1159315.0,290475067
17,One Flew Over the Cuckoo's Nest,1975,A,133,Drama,8.7,83.0,918088.0,112000000
18,Hamilton,2020,PG-13,160,"Biography, Drama, History",8.6,90.0,55291.0,-1
19,Gisaengchung,2019,A,132,"Comedy, Drama, Thriller",8.6,96.0,552778.0,53367844
20,Soorarai Pottru,2020,U,153,Drama,8.6,-1.0,54995.0,-1
21,Interstellar,2014,UA,169,"Adventure, Drama, Sci-Fi",8.6,74.0,1512360.0,188020017
22,Cidade de Deus,2002,A,130,"Crime, Drama",8.6,79.0,699256.0,7563397
23,Sen to Chihiro no kamikakushi,2001,U,125,"Animation, Adventure, Family",8.6,96.0,651376.0,10055859
24,Saving Private Ryan,1998,R,169,"Drama, War",8.6,91.0,1235804.0,216540909
25,The Green Mile,1999,A,189,"Crime, Drama, Fantasy",8.6,61.0,1147794.0,136801374
26,La vita è bella,1997,U,116,"Comedy, Drama, Romance",8.6,59.0,623629.0,57598247
27,Se7en,1995,A,127,"Crime, Drama, Mystery",8.6,65.0,1445096.0,100125643
28,The Silence of the Lambs,1991,A,118,"Crime, Drama, Thriller",8.6,85.0,1270197.0,130742922
29,Star Wars,1977,UA,121,"Action, Adventure, Fantasy",8.6,90.0,1231473.0,322740140
30,Seppuku,1962,-1,133,"Action, Drama, Mystery",8.6,85.0,42004.0,-1
31,Shichinin no samurai,1954,U,207,"Action, Adventure, Drama",8.6,98.0,315744.0,269061
